id,resposta_modelo,resposta_correta,status
pp2024_a_30,D,B,ERRO
pp2024_a_31,C,C,ACERTO
pp2024_a_32,B,E,ERRO
pp2024_a_33,D,E,ERRO
pp2024_a_34,B,E,ERRO
pp2024_a_35,D,D,ACERTO
pp2024_a_36,B,D,ERRO
pp2024_a_37,A,A,ACERTO
pp2024_a_38,A,C,ERRO
pp2024_a_39,D,D,ACERTO
pp2024_a_40,C,C,ACERTO
pp2024_a_41,A,B,ERRO
pp2024_a_44,D,B,ERRO
pp2024_a_45,E,B,ERRO
pp2024_a_46,E,C,ERRO
pp2024_a_48,B,B,ACERTO
pp2024_a_49,C,E,ERRO
pp2024_a_50,A,A,ACERTO
pp2024_a_51,B,B,ACERTO
pp2024_a_52,B,A,ERRO
pm2021_b_53,E,B,ERRO
pc2025_01_pn_32,C,C,ACERTO
pc2025_01_pn_33,B,E,ERRO
pc2025_01_pn_34,D,B,ERRO
pc2025_01_pn_35,B,D,ERRO
pc2025_01_pn_36,C,C,ACERTO
pc2025_01_pn_37,B,A,ERRO
pc2025_01_pn_38,B,B,ACERTO
pc2025_01_pn_39,C,A,ERRO
pc2025_01_pn_40,E,A,ERRO
pc2025_01_ppn_41,A,B,ERRO
pc2025_01_ppn_42,E,B,ERRO
pc2025_01_ppn_43,D,B,ERRO
pc2025_01_ppn_44,B,C,ERRO
pc2025_01_ppn_45,E,C,ERRO
pc2025_01_ppn_46,C,D,ERRO
pc2025_01_ppn_47,C,C,ACERTO
pc2025_01_ppn_48,B,D,ERRO
pc2025_01_ppn_49,D,A,ERRO
pc2025_01_ppn_50,B,B,ACERTO
pc2025_01_cn_51,C,A,ERRO
pc2025_01_cn_52,B,A,ERRO
pc2025_01_cn_53,D,A,ERRO
pc2025_01_cn_54,D,E,ERRO
pc2025_01_cn_55,A,C,ERRO
pc2025_01_cn_56,E,D,ERRO
pc2025_01_adm_57,D,A,ERRO
pc2025_01_adm_58,A,B,ERRO
pc2025_01_adm_59,B,D,ERRO
pc2025_01_adm_60,B,B,ACERTO
pc2025_01_adm_61,C,E,ERRO
pc2025_01_adm_62,D,D,ACERTO
pc2025_01_lipc_63,D,D,ACERTO
pc2025_01_lipc_64,A,C,ERRO
pc2025_01_lipc_65,E,D,ERRO
pc2025_01_lipc_66,D,C,ERRO
pc2025_02_pn_31,C,A,ERRO
pc2025_02_pn_32,B,E,ERRO
pc2025_02_pn_33,B,A,ERRO
pc2025_02_pn_34,B,B,ACERTO
pc2025_02_pn_35,C,C,ACERTO
pc2025_02_pn_36,E,A,ERRO
pc2025_02_pn_37,B,D,ERRO
pc2025_02_pn_38,C,C,ACERTO
pc2025_02_pn_39,D,B,ERRO
pc2025_02_pn_40,C,D,ERRO
pc2025_02_cn_52,A,D,ERRO
pc2025_02_cn_53,E,A,ERRO
pc2025_02_cn_54,C,E,ERRO
pc2025_02_cn_55,D,A,ERRO
pc2025_02_cn_56,D,E,ERRO
pc2025_02_adm_57,C,B,ERRO
pc2025_02_adm_58,B,B,ACERTO
pc2025_02_adm_59,A,D,ERRO
pc2025_02_adm_60,D,D,ACERTO
pc2025_02_adm_61,D,A,ERRO
pc2025_02_adm_62,B,D,ERRO
pc2025_02_lipc_64,E,D,ERRO
pc2025_02_lipc_65,D,D,ACERTO
pc2025_02_lipc_66,D,C,ERRO
pc2025_03_pn_31,B,A,ERRO
pc2025_03_pn_32,E,A,ERRO
pc2025_03_pn_33,B,B,ACERTO
pc2025_03_pn_34,B,D,ERRO
pc2025_03_pn_35,C,A,ERRO
pc2025_03_pn_36,C,D,ERRO
pc2025_03_pn_37,D,B,ERRO
pc2025_03_pn_38,B,E,ERRO
pc2025_03_pn_39,C,C,ACERTO
pc2025_03_pn_40,C,C,ACERTO
pc2025_03_ppn_42,B,B,ACERTO
pc2025_03_ppn_43,A,A,ACERTO
pc2025_03_ppn_44,B,B,ACERTO
pc2025_03_ppn_45,C,B,ERRO
pc2025_03_ppn_46,D,D,ACERTO
pc2025_03_ppn_47,D,D,ACERTO
pc2025_03_ppn_48,E,C,ERRO
pc2025_03_ppn_49,A,B,ERRO
pc2025_03_ppn_50,B,C,ERRO
pc2025_03_cn_51,E,D,ERRO
pc2025_03_cn_52,D,A,ERRO
pc2025_03_cn_53,D,E,ERRO
pc2025_03_cn_54,A,C,ERRO
pc2025_03_cn_55,C,A,ERRO
pc2025_03_cn_56,B,A,ERRO
pc2025_03_adm_57,A,B,ERRO
pc2025_03_adm_58,D,D,ACERTO
pc2025_03_adm_59,D,A,ERRO
pc2025_03_adm_60,C,E,ERRO
pc2025_03_adm_61,B,D,ERRO
pc2025_03_adm_62,B,B,ACERTO
pc2025_03_lipc_64,D,C,ERRO
pc2025_03_lipc_65,A,C,ERRO
pc2025_03_lipc_66,D,D,ACERTO
pc2025_04_pn_32,C,C,ACERTO
pc2025_04_pn_33,C,D,ERRO
pc2025_04_pn_34,B,D,ERRO
pc2025_04_pn_35,B,A,ERRO
pc2025_04_pn_36,C,A,ERRO
pc2025_04_pn_37,C,C,ACERTO
pc2025_04_pn_38,E,A,ERRO
pc2025_04_pn_39,B,E,ERRO
pc2025_04_pn_40,D,B,ERRO
pc2025_04_ppn_41,B,B,ACERTO
pc2025_04_ppn_42,B,C,ERRO
pc2025_04_ppn_43,E,C,ERRO
pc2025_04_ppn_44,D,D,ACERTO
pc2025_04_ppn_45,A,A,ACERTO
pc2025_04_ppn_46,C,B,ERRO
pc2025_04_ppn_47,A,B,ERRO
pc2025_04_ppn_48,D,D,ACERTO
pc2025_04_ppn_49,B,B,ACERTO
pc2025_04_ppn_50,C,C,ACERTO
pc2025_04_cn_51,D,A,ERRO
pc2025_04_cn_52,D,E,ERRO
pc2025_04_cn_53,B,A,ERRO
pc2025_04_cn_54,E,D,ERRO
pc2025_04_cn_55,A,C,ERRO
pc2025_04_cn_56,C,A,ERRO
pc2025_04_adm_57,B,B,ACERTO
pc2025_04_adm_58,B,D,ERRO
pc2025_04_adm_59,D,D,ACERTO
pc2025_04_adm_60,C,E,ERRO
pc2025_04_adm_61,A,B,ERRO
pc2025_04_adm_62,E,A,ERRO
pc2025_04_lipc_63,A,C,ERRO
pc2025_04_lipc_64,D,D,ACERTO
pc2025_04_lipc_65,D,C,ERRO
pc2025_04_lipc_66,E,D,ERRO
