id,resposta_modelo,resposta_correta,status
pc2025_01_pn_33,MÚLTIPLAS,E,ERRO
pc2025_01_pn_34,MÚLTIPLAS,B,ERRO
pc2025_01_pn_35,MÚLTIPLAS,D,ERRO
pc2025_01_pn_36,MÚLTIPLAS,C,ERRO
pc2025_01_pn_37,MÚLTIPLAS,A,ERRO
pc2025_01_pn_38,A,B,ERRO
pc2025_01_pn_39,MÚLTIPLAS,A,ERRO
pc2025_01_pn_40,E,A,ERRO
pc2025_01_ppn_41,MÚLTIPLAS,B,ERRO
pc2025_01_ppn_42,A,B,ERRO
pc2025_01_ppn_43,A,B,ERRO
pc2025_01_ppn_44,A,C,ERRO
pc2025_01_ppn_45,MÚLTIPLAS,C,ERRO
pc2025_01_ppn_46,E,D,ERRO
pc2025_01_ppn_47,E,C,ERRO
pc2025_01_ppn_48,E,D,ERRO
pc2025_01_ppn_49,E,A,ERRO
pc2025_01_ppn_50,MÚLTIPLAS,B,ERRO
pc2025_01_cn_51,E,A,ERRO
pc2025_01_cn_52,MÚLTIPLAS,A,ERRO
pc2025_01_cn_53,MÚLTIPLAS,A,ERRO
pc2025_01_cn_54,MÚLTIPLAS,E,ERRO
pc2025_01_cn_55,A,C,ERRO
pc2025_01_cn_56,E,D,ERRO
pc2025_01_adm_57,E,A,ERRO
pc2025_01_adm_58,MÚLTIPLAS,B,ERRO
pc2025_01_adm_59,A,D,ERRO
pc2025_01_adm_60,MÚLTIPLAS,B,ERRO
pc2025_01_adm_61,MÚLTIPLAS,E,ERRO
pc2025_01_adm_62,MÚLTIPLAS,D,ERRO
pc2025_01_lipc_63,A,D,ERRO
pc2025_01_lipc_64,B,C,ERRO
pc2025_01_lipc_65,E,D,ERRO
pc2025_01_lipc_66,B,C,ERRO
pc2025_02_pn_31,MÚLTIPLAS,A,ERRO
pc2025_02_pn_32,MÚLTIPLAS,E,ERRO
pc2025_02_pn_33,MÚLTIPLAS,A,ERRO
pc2025_02_pn_34,A,B,ERRO
pc2025_02_pn_35,MÚLTIPLAS,C,ERRO
pc2025_02_pn_36,E,A,ERRO
pc2025_02_pn_37,MÚLTIPLAS,D,ERRO
pc2025_02_pn_38,E,C,ERRO
pc2025_02_pn_39,MÚLTIPLAS,B,ERRO
pc2025_02_pn_40,E,D,ERRO
pc2025_02_cn_52,A,D,ERRO
pc2025_02_cn_53,E,A,ERRO
pc2025_02_cn_54,E,E,ACERTO
pc2025_02_cn_55,MÚLTIPLAS,A,ERRO
pc2025_02_cn_56,D,E,ERRO
pc2025_02_adm_57,MÚLTIPLAS,B,ERRO
pc2025_02_adm_58,MÚLTIPLAS,B,ERRO
pc2025_02_adm_59,MÚLTIPLAS,D,ERRO
pc2025_02_adm_60,MÚLTIPLAS,D,ERRO
pc2025_02_adm_61,E,A,ERRO
pc2025_02_adm_62,A,D,ERRO
pc2025_02_lipc_64,E,D,ERRO
pc2025_02_lipc_65,A,D,ERRO
pc2025_02_lipc_66,B,C,ERRO
pc2025_03_pn_31,MÚLTIPLAS,A,ERRO
pc2025_03_pn_32,E,A,ERRO
pc2025_03_pn_33,A,B,ERRO
pc2025_03_pn_34,MÚLTIPLAS,D,ERRO
pc2025_03_pn_35,MÚLTIPLAS,A,ERRO
pc2025_03_pn_36,E,D,ERRO
pc2025_03_pn_37,MÚLTIPLAS,B,ERRO
pc2025_03_pn_38,MÚLTIPLAS,E,ERRO
pc2025_03_pn_39,MÚLTIPLAS,C,ERRO
pc2025_03_pn_40,E,C,ERRO
pc2025_03_ppn_42,MÚLTIPLAS,B,ERRO
pc2025_03_ppn_43,MÚLTIPLAS,A,ERRO
pc2025_03_ppn_44,E,B,ERRO
pc2025_03_ppn_45,E,B,ERRO
pc2025_03_ppn_46,A,D,ERRO
pc2025_03_ppn_47,E,D,ERRO
pc2025_03_ppn_48,MÚLTIPLAS,C,ERRO
pc2025_03_ppn_49,E,B,ERRO
pc2025_03_ppn_50,A,C,ERRO
pc2025_03_cn_51,E,D,ERRO
pc2025_03_cn_52,MÚLTIPLAS,A,ERRO
pc2025_03_cn_53,MÚLTIPLAS,E,ERRO
pc2025_03_cn_54,A,C,ERRO
pc2025_03_cn_55,E,A,ERRO
pc2025_03_cn_56,MÚLTIPLAS,A,ERRO
pc2025_03_adm_57,MÚLTIPLAS,B,ERRO
pc2025_03_adm_58,MÚLTIPLAS,D,ERRO
pc2025_03_adm_59,E,A,ERRO
pc2025_03_adm_60,MÚLTIPLAS,E,ERRO
pc2025_03_adm_61,A,D,ERRO
pc2025_03_adm_62,MÚLTIPLAS,B,ERRO
pc2025_03_lipc_64,E,C,ERRO
pc2025_03_lipc_65,B,C,ERRO
pc2025_03_lipc_66,A,D,ERRO
pc2025_04_pn_32,MÚLTIPLAS,C,ERRO
pc2025_04_pn_33,E,D,ERRO
pc2025_04_pn_34,MÚLTIPLAS,D,ERRO
pc2025_04_pn_35,MÚLTIPLAS,A,ERRO
pc2025_04_pn_36,MÚLTIPLAS,A,ERRO
pc2025_04_pn_37,E,C,ERRO
pc2025_04_pn_38,E,A,ERRO
pc2025_04_pn_39,MÚLTIPLAS,E,ERRO
pc2025_04_pn_40,D,B,ERRO
pc2025_04_ppn_41,MÚLTIPLAS,B,ERRO
pc2025_04_ppn_42,A,C,ERRO
pc2025_04_ppn_43,MÚLTIPLAS,C,ERRO
pc2025_04_ppn_44,A,D,ERRO
pc2025_04_ppn_45,MÚLTIPLAS,A,ERRO
pc2025_04_ppn_46,E,B,ERRO
pc2025_04_ppn_47,E,B,ERRO
pc2025_04_ppn_48,E,D,ERRO
pc2025_04_ppn_49,E,B,ERRO
pc2025_04_ppn_50,A,C,ERRO
pc2025_04_cn_51,MÚLTIPLAS,A,ERRO
pc2025_04_cn_52,MÚLTIPLAS,E,ERRO
pc2025_04_cn_53,MÚLTIPLAS,A,ERRO
pc2025_04_cn_54,E,D,ERRO
pc2025_04_cn_55,A,C,ERRO
pc2025_04_cn_56,MÚLTIPLAS,A,ERRO
pc2025_04_adm_57,MÚLTIPLAS,B,ERRO
pc2025_04_adm_58,A,D,ERRO
pc2025_04_adm_59,MÚLTIPLAS,D,ERRO
pc2025_04_adm_60,MÚLTIPLAS,E,ERRO
pc2025_04_adm_61,MÚLTIPLAS,B,ERRO
pc2025_04_adm_62,E,A,ERRO
pc2025_04_lipc_63,B,C,ERRO
pc2025_04_lipc_64,A,D,ERRO
pc2025_04_lipc_65,E,C,ERRO
pc2025_04_lipc_66,E,D,ERRO
